gamepiece_index,x_3d,y_3d,z_3d,rot_z_deg,bb_x_2d,bb_y_2d,bb_width,bb_height
0,-1.5,-0.25,0.8499999999999999,180,0,451.27467155456543,422.901451587677,0.00012874603271484375
0,-1.5,-0.25,0.8499999999999999,225,0,0.0,1183.7839537858963,720.0
0,-1.5,-0.25,0.8499999999999999,315,0,0.0,85.79343430697918,720.0
0,-1.5,-0.25,0.8499999999999999,315,0,0.0,1046.8914192914963,720.0
0,-1.5,0.0,0.1,0,0,0.0,220.82992255687714,656.3817250728607
0,-1.5,0.0,0.1,0,0,0.0,381.0951295495033,630.5749207735062
0,-1.5,0.0,0.1,0,0,0.0,493.7305751442909,612.4377107620239
0,-1.5,0.0,0.1,45,0,0.0,166.56385883688927,720.0
0,-1.5,0.0,0.1,45,0,0.0,513.2325491309166,720.0
0,-1.5,0.0,0.1,45,0,0.0,772.464507818222,720.0
0,-1.5,0.0,0.1,90,0,0.0,232.76136860251427,720.0
0,-1.5,0.0,0.1,90,0,0.0,397.63909459114075,650.551997423172
0,-1.5,0.0,0.1,90,0,0.0,513.6767444014549,632.3711264133453
0,-1.5,0.0,0.1,135,0,0.0,198.92917677760124,720.0
0,-1.5,0.0,0.1,135,0,0.0,522.1883296966553,720.0
0,-1.5,0.0,0.1,135,0,0.0,761.9000333547592,720.0
0,-1.5,0.0,0.1,180,0,0.0,220.82992255687714,656.3817518949509
0,-1.5,0.0,0.1,180,0,0.0,381.0950917005539,630.5749207735062
0,-1.5,0.0,0.1,180,0,0.0,493.7305372953415,612.4377751350403
0,-1.5,0.0,0.1,225,0,0.0,166.56374529004097,720.0
0,-1.5,0.0,0.1,225,0,0.0,513.2325112819672,720.0
0,-1.5,0.0,0.1,225,0,0.0,772.464507818222,720.0
0,-1.5,0.0,0.1,270,0,0.0,232.7614064514637,720.0
0,-1.5,0.0,0.1,270,0,0.0,397.63909459114075,650.551997423172
0,-1.5,0.0,0.1,270,0,0.0,513.6767822504044,632.3711264133453
0,-1.5,0.0,0.1,315,0,0.0,198.9290253818035,720.0
0,-1.5,0.0,0.1,315,0,0.0,522.1883675456047,720.0
0,-1.5,0.0,0.1,315,0,0.0,761.9001090526581,720.0
0,-1.5,0.0,0.35,0,0,0.0,172.0160000026226,560.8415043354034
0,-1.5,0.0,0.35,0,0,0.0,356.8907642364502,550.8389353752136
0,-1.5,0.0,0.35,0,0,0.0,482.42490470409393,544.0469598770142
0,-1.5,0.0,0.35,45,0,0.0,32.583715841174126,720.0
0,-1.5,0.0,0.35,45,0,0.0,484.61230903863907,720.0
0,-1.5,0.0,0.35,45,0,0.0,799.8867529630661,720.0
0,-1.5,0.0,0.35,90,0,0.0,183.99746343493462,580.5368149280548
0,-1.5,0.0,0.35,90,0,0.0,374.357146024704,570.4685425758362
0,-1.5,0.0,0.35,90,0,0.0,503.68428111076355,563.628351688385
0,-1.5,0.0,0.35,135,0,0.0,85.07343374192715,720.0
0,-1.5,0.0,0.35,135,0,0.0,498.04069995880127,720.0
0,-1.5,0.0,0.35,135,0,0.0,784.9164336919785,720.0
0,-1.5,0.0,0.35,180,0,0.0,172.01601892709732,560.8415257930756
0,-1.5,0.0,0.35,180,0,0.0,356.89072638750076,550.8389353752136
0,-1.5,0.0,0.35,180,0,0.0,482.4248668551445,544.0470242500305
0,-1.5,0.0,0.35,225,0,0.0,32.58358336985111,720.0
0,-1.5,0.0,0.35,225,0,0.0,484.61230903863907,720.0
0,-1.5,0.0,0.35,225,0,0.0,799.8867529630661,720.0
0,-1.5,0.0,0.35,270,0,0.0,183.99750128388405,580.5367934703827
0,-1.5,0.0,0.35,270,0,0.0,374.3571838736534,570.4685425758362
0,-1.5,0.0,0.35,270,0,0.0,503.68428111076355,563.628351688385
0,-1.5,0.0,0.35,315,0,0.0,85.07323503494263,720.0
0,-1.5,0.0,0.35,315,0,0.0,498.04069995880127,720.0
0,-1.5,0.0,0.35,315,0,0.0,784.9165093898773,720.0
0,-1.5,0.0,0.6,0,0,0.0,110.158317014575,439.7717070579529
0,-1.5,0.0,0.6,0,0,0.0,327.58538246154785,454.29883003234863
0,-1.5,0.0,0.6,0,0,0.0,469.1521865129471,463.75741481781006
0,-1.5,0.0,0.6,45,0,0.0,438.40453267097473,720.0
0,-1.5,0.0,0.6,45,0,0.0,840.9761780500412,720.0
0,-1.5,0.0,0.6,90,0,0.0,121.77900426089764,458.2427930831909
0,-1.5,0.0,0.6,90,0,0.0,346.0112729668617,472.96631813049316
0,-1.5,0.0,0.6,90,0,0.0,491.8980425596237,482.5455379486084
0,-1.5,0.0,0.6,135,0,0.0,460.739803314209,720.0
0,-1.5,0.0,0.6,135,0,0.0,818.1318390369415,720.0
0,-1.5,0.0,0.6,180,0,0.0,110.15834540128708,439.771728515625
0,-1.5,0.0,0.6,180,0,0.0,327.58538246154785,454.29883003234863
0,-1.5,0.0,0.6,180,0,0.0,469.15214866399765,463.7574791908264
0,-1.5,0.0,0.6,225,0,0.0,438.40453267097473,720.0
0,-1.5,0.0,0.6,225,0,0.0,840.9761023521423,720.0
0,-1.5,0.0,0.6,270,0,0.0,121.77905157208443,458.2427501678467
0,-1.5,0.0,0.6,270,0,0.0,346.0112729668617,472.96631813049316
